# close_workitem.csv — input for WorkItems/close_workitem.py
#
# Columns:
#   mva      — MVA number (required)
#   Type     — Work item type: Glass, PM  (required)
#
# Notes:
#   - Lines starting with # are ignored
#   - Rows with a blank mva are skipped
#
mva,Type
050106803,Glass
054290095,Glass
060667891,Glass
062143723,Glass
058614393,Glass
061043780,Glass
061338266,Glass
061013923,Glass
058481721,Glass
059869143,Glass
059074805,Glass
050239770,Glass
051369614,Glass
059433430,Glass
061401336,Glass
060538240,Glass
059141751,Glass
059860533,Glass
060238522,Glass
060643030,Glass
060664601,Glass
058354483,Glass
060622564,Glass
050094170,Glass
058166146,Glass
059751543,Glass
057819145,Glass
062021481,Glass
061886790,Glass
059360324,Glass
053271363,Glass
059473621,Glass
058613494,Glass
