subject,received,po_number,vin,invoice_amount,pdf_path,status,auth_amount,match
[External] Invoice #4907720,2026-06-19 13:55:45.368000+00:00,,4T1DAACK2SU006245,306.00,C:\Users\steeldir\AGN_Automation\pdfs\_External__Invoice__4907720_CA5B0000.pdf,already_paid,,
[External] Invoice #4916334,2026-06-19 14:00:17.019000+00:00,,4S4WMABD2T3416294,175.00,C:\Users\steeldir\AGN_Automation\pdfs\_External__Invoice__4916334_CA5A0000.pdf,already_paid,,
[External] Invoice #4916354,2026-06-19 14:01:59.849000+00:00,,4S4SLDD60T3069677,175.00,C:\Users\steeldir\AGN_Automation\pdfs\_External__Invoice__4916354_CA590000.pdf,already_paid,,
[External] Invoice #4916358,2026-06-19 14:02:37.147000+00:00,,1GTPHBEK0TZ324966,306.00,C:\Users\steeldir\AGN_Automation\pdfs\_External__Invoice__4916358_CA580000.pdf,already_paid,,
[External] Invoice #4916351,2026-06-19 14:02:57.372000+00:00,,4S4SLDD60T3069677,306.00,C:\Users\steeldir\AGN_Automation\pdfs\_External__Invoice__4916351_CA570000.pdf,already_paid,,
[External] Invoice #4916362,2026-06-19 14:03:17.409000+00:00,,5NMP24GL3TH190378,306.00,C:\Users\steeldir\AGN_Automation\pdfs\_External__Invoice__4916362_CA560000.pdf,already_paid,,
[External] Invoice #5090859,2026-07-22 17:20:31.496000+00:00,,1C4SJSBP0SS534781,340.00,C:\Users\steeldir\Code\GlassOrchestrator\Outlook\pdfs\_External__Invoice__5090859_FFC90000.pdf,approved,340.00,True
[External] Invoice #5090850,2026-07-22 17:19:53.144000+00:00,,1GKENKKSXTJ197778,340.00,C:\Users\steeldir\Code\GlassOrchestrator\Outlook\pdfs\_External__Invoice__5090850_FFC80000.pdf,approve_failed,340.00,True
[External] Invoice #5090842,2026-07-22 17:19:18.422000+00:00,,KL79MPSPXTB193651,340.00,C:\Users\steeldir\Code\GlassOrchestrator\Outlook\pdfs\_External__Invoice__5090842_FFC70000.pdf,approved,340.00,True
[External] Invoice #4916333,2026-06-19 14:03:50.195000+00:00,,4S4WMABD2T3416294,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4916333_CA550000.pdf,already_paid,,
[External] Invoice #4916329,2026-06-19 14:04:17.913000+00:00,,4T1DAACKXSU598042,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4916329_CA540000.pdf,already_paid,,
[External] Invoice #4924232,2026-06-19 14:05:05.516000+00:00,,1FMDE7BH9TLA47847,504.84,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4924232_CA530000.pdf,already_paid,,
[External] Invoice #4924244,2026-06-19 14:05:39.953000+00:00,,1HGCY1F23TA025625,175.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4924244_CA520000.pdf,already_paid,,
[External] Invoice #4924241,2026-06-19 14:06:01.325000+00:00,,1HGCY1F23TA025625,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4924241_CA510000.pdf,already_paid,,
[External] Invoice #4924233,2026-06-19 14:06:18.882000+00:00,,5YFB4MDE7SP301836,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4924233_CA500000.pdf,already_paid,,
[External] Receipt for Job #4946751,2026-06-20 11:39:37.156000+00:00,,1C4SJSBP2SS516587,306.00,C:\Users\steeldir\Code\GlassOrchestrator\outlook\pdfs\_External__Receipt_for_Job__4946751_24DE0000.pdf,already_paid,,
[External] Receipt for Job #4946760,2026-06-20 11:40:01.523000+00:00,,4T1DAACK8TU711861,306.00,C:\Users\steeldir\Code\GlassOrchestrator\outlook\pdfs\_External__Receipt_for_Job__4946760_24DF0000.pdf,already_paid,,
[External] Receipt for Job #4946737,2026-06-20 11:40:37.382000+00:00,,1V2HC2CA5TC222111,431.00,C:\Users\steeldir\Code\GlassOrchestrator\outlook\pdfs\_External__Receipt_for_Job__4946737_24E00000.pdf,already_paid,,
[External] Receipt for Job #4946744,2026-06-20 11:40:57.914000+00:00,,1V2HC2CA5TC222111,125.00,C:\Users\steeldir\Code\GlassOrchestrator\outlook\pdfs\_External__Receipt_for_Job__4946744_24E10000.pdf,already_paid,,
[External] Receipt for Job #4901821,2026-06-20 12:46:08.087000+00:00,,KM8RL5S28TU115691,1359.49,C:\Users\steeldir\Code\GlassOrchestrator\outlook\pdfs\_External__Receipt_for_Job__4901821_24E20000.pdf,already_paid,,
[External] Receipt for Job #4949692,2026-06-22 13:49:48.204000+00:00,,1FBAX2YG5TKA46322,547.15,C:\Users\steeldir\Code\GlassOrchestrator\outlook\pdfs\_External__Receipt_for_Job__4949692_3D820000.pdf,already_paid,,
[External] Receipt for Job #4949662,2026-06-22 13:50:56.540000+00:00,,1FMUK8HH7SGB81060,403.40,C:\Users\steeldir\Code\GlassOrchestrator\outlook\pdfs\_External__Receipt_for_Job__4949662_3D830000.pdf,already_paid,,
[External] Receipt for Job #4949660,2026-06-22 13:51:14.570000+00:00,,1FMUK8HH4SGB81498,403.40,C:\Users\steeldir\Code\GlassOrchestrator\outlook\pdfs\_External__Receipt_for_Job__4949660_3D840000.pdf,already_paid,,
[External] Receipt for Job #4949692,2026-06-22 14:05:59.982000+00:00,,1FBAX2YG5TKA46322,547.15,C:\Users\steeldir\Code\GlassOrchestrator\outlook\pdfs\_External__Receipt_for_Job__4949692_3D850000.pdf,already_paid,,
[External] Invoice #4930713,2026-06-22 16:19:27.358000+00:00,,5YJ3E1EAXPF436940,515.92,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4930713_3D860000.pdf,already_paid,,
[External] Invoice #4930797,2026-06-22 16:20:14.479000+00:00,,5XYP64GC3SG682406,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4930797_3D870000.pdf,already_paid,,
[External] Invoice #4930779,2026-06-22 16:20:35.187000+00:00,,1GNS6DRD7SR345620,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4930779_3D880000.pdf,already_paid,,
[External] Invoice #4930758,2026-06-22 16:20:44.300000+00:00,,2T3H1RFV4SW366629,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4930758_3D890000.pdf,already_paid,,
[External] Invoice #4930651,2026-06-22 16:21:30.645000+00:00,,4T1DAACK4SU130453,225.98,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4930651_3D8A0000.pdf,already_paid,,
[External] Invoice #4936317,2026-06-22 16:21:44.299000+00:00,,1GNS6DRD9SR219002,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4936317_3D8B0000.pdf,already_paid,,
[External] Invoice #4936313,2026-06-22 16:22:41.526000+00:00,,7MMVABBLXTN466404,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4936313_3D8C0000.pdf,already_paid,,
[External] Invoice #4936308,2026-06-22 16:23:23.908000+00:00,,3GKALMEG5TL276842,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4936308_3D8D0000.pdf,already_paid,,
[External] Invoice #4936301,2026-06-22 16:23:44.668000+00:00,,LRBFZSR44TD067553,469.13,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4936301_3D8E0000.pdf,already_paid,,
[External] Invoice #4936310,2026-06-22 16:23:49.138000+00:00,,3GKALMEGXTL400152,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4936310_3D8F0000.pdf,already_paid,,
[External] Invoice #4936298,2026-06-22 16:24:14.320000+00:00,,KMHL24JJ1TA157696,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4936298_3D900000.pdf,already_paid,,
[External] Invoice #4936312,2026-06-22 16:24:38.064000+00:00,,1FMCU0MN7TUA29060,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4936312_3D910000.pdf,already_paid,,
[External] Invoice #4936293,2026-06-22 16:24:41.430000+00:00,,2C4RC1BG1TR220160,306.00,C:\Users\steeldir\GlassOrchestrator\outlook\pdfs\_External__Invoice__4936293_3D920000.pdf,already_paid,,
